URL,Depth,ParentFolderName,nav_order,FileName,FileNameNoSpaces
the-conditions-upon-which-learning-depends/fluency-building-processes,1,the-conditions-upon-which-learning-depends,4,Fluency Building Processes,Fluencybuildingprocesses
the-effects-of-instructional-events/presentation-prompting-and-practice-variables,1,the-effects-of-instructional-events,0,Presentation Prompting And Practice Variables,Presentationpromptingandpracticevariables
the-effects-of-instructional-events/the-effects-of-contingency-variables,1,the-effects-of-instructional-events,1,The Effects Of Contingency Variables,Theeffectsofcontingencyvariables
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/calls-for-change,2,the-move-from-craft-to-evidence-based-practice,0,Calls For Change,Callsforchange
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/what-is-to-count-as-evidence-based-practice.md,2,the-move-from-craft-to-evidence-based-practice,1,What Is To Count As Evidence Based Practice.md,Whatistocountasevidencebasedpractice.md
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/what-is-to-count-as-evidence,2,the-move-from-craft-to-evidence-based-practice,2,What Is To Count As Evidence,Whatistocountasevidence
the-problem-to-be-solved/is-a-move-from-craft-to-evidence-based-practice-possible/how-extensive-is-the-research-in-learning-processes.md,2,is-a-move-from-craft-to-evidence-based-practice-possible,0,How Extensive Is The Research In Learning Processes.md,Howextensiveistheresearchinlearningprocesses.md
the-problem-to-be-solved/is-a-move-from-craft-to-evidence-based-practice-possible/how-extensive-is-the-research-into-teaching-processes.md,2,is-a-move-from-craft-to-evidence-based-practice-possible,1,How Extensive Is The Research Into Teaching Processes.md,Howextensiveistheresearchintoteachingprocesses.md
the-problem-to-be-solved/the-transition-from-craft-to-science/increasing-teachers-understanding-of-learning-processes.md,2,the-transition-from-craft-to-science,0,Increasing Teachers Understanding Of Learning Processes.md,Increasingteachersunderstandingoflearningprocesses.md
the-problem-to-be-solved/the-transition-from-craft-to-science/understanding-of-the-complexities-of-classroom-practice.md,2,the-transition-from-craft-to-science,1,Understanding Of The Complexities Of Classroom Practice.md,Understandingofthecomplexitiesofclassroompractice.md
the-problem-to-be-solved/the-transition-from-craft-to-science/recognising-the-constraining-influence-of-teachers-beliefs.md,2,the-transition-from-craft-to-science,2,Recognising The Constraining Influence Of Teachers Beliefs.md,Recognisingtheconstraininginfluenceofteachersbeliefs.md
the-problem-to-be-solved/the-transition-from-craft-to-science/recognising-the-constraints-posed-by-the-nature-of-classroom-work.md,2,the-transition-from-craft-to-science,3,Recognising The Constraints Posed By The Nature Of Classroom Work.md,Recognisingtheconstraintsposedbythenatureofclassroomwork.md
the-problem-to-be-solved/the-transition-from-craft-to-science/recognising-the-research-potential-of-teacher-education.md,2,the-transition-from-craft-to-science,4,Recognising The Research Potential Of Teacher Education.md,Recognisingtheresearchpotentialofteachereducation.md
the-problem-to-be-solved/the-transition-from-craft-to-science/increasing-the-size-of-the-research-establishment.md,2,the-transition-from-craft-to-science,5,Increasing The Size Of The Research Establishment.md,Increasingthesizeoftheresearchestablishment.md
the-problem-to-be-solved/the-transition-from-craft-to-science/improving-the-quality-of-research-into-learning-and-teaching,2,the-transition-from-craft-to-science,6,Improving The Quality Of Research Into Learning And Teaching,Improvingthequalityofresearchintolearningandteaching
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/what-is-learning,2,learning-processes-learning-outcomes-and-phases-of-learning,0,What Is Learning,Whatislearning
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/three-important-learning-processes.md,2,learning-processes-learning-outcomes-and-phases-of-learning,1,Three Important Learning Processes.md,Threeimportantlearningprocesses.md
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/basic-types-of-acquisition-outcomes,2,learning-processes-learning-outcomes-and-phases-of-learning,2,Basic Types Of Acquisition Outcomes,Basictypesofacquisitionoutcomes
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/phases-of-learning,2,learning-processes-learning-outcomes-and-phases-of-learning,3,Phases Of Learning,Phasesoflearning
important-learning-and-teaching-events/types-of-curriculum-goals/what-is-curriculum,2,types-of-curriculum-goals,0,What Is Curriculum,Whatiscurriculum
important-learning-and-teaching-events/types-of-curriculum-goals/the-content-of-the-english-curriculum,2,types-of-curriculum-goals,1,The Content Of The English Curriculum,Thecontentoftheenglishcurriculum
important-learning-and-teaching-events/types-of-curriculum-goals/the-content-of-the-mathematics-curriculum,2,types-of-curriculum-goals,2,The Content Of The Mathematics Curriculum,Thecontentofthemathematicscurriculum
important-learning-and-teaching-events/types-of-curriculum-goals/the-content-of-the-science-curriculum,2,types-of-curriculum-goals,3,The Content Of The Science Curriculum,Thecontentofthesciencecurriculum
important-learning-and-teaching-events/the-learning-outcomes-hidden-inside-curriculum-goals/the-skills-involved-in-learning-to-read,2,the-learning-outcomes-hidden-inside-curriculum-goals,0,The Skills Involved In Learning To Read,Theskillsinvolvedinlearningtoread
important-learning-and-teaching-events/the-learning-outcomes-hidden-inside-curriculum-goals/the-skills-involved-in-learning-to-write,2,the-learning-outcomes-hidden-inside-curriculum-goals,1,The Skills Involved In Learning To Write,Theskillsinvolvedinlearningtowrite
important-learning-and-teaching-events/the-learning-outcomes-hidden-inside-curriculum-goals/types-of-mathematical-skills,2,the-learning-outcomes-hidden-inside-curriculum-goals,2,Types Of Mathematical Skills,Typesofmathematicalskills
important-learning-and-teaching-events/learning-interactions-and-their-component-events/the-components-of-individual-learning-interactions,2,learning-interactions-and-their-component-events,0,The Components Of Individual Learning Interactions,Thecomponentsofindividuallearninginteractions
important-learning-and-teaching-events/learning-interactions-and-their-component-events/presentations,2,learning-interactions-and-their-component-events,1,Presentations,Presentations
important-learning-and-teaching-events/learning-interactions-and-their-component-events/prompts,2,learning-interactions-and-their-component-events,2,Prompts,Prompts
important-learning-and-teaching-events/learning-interactions-and-their-component-events/practice-stimuli,2,learning-interactions-and-their-component-events,3,Practice Stimuli,Practicestimuli
important-learning-and-teaching-events/learning-interactions-and-their-component-events/practice-responses,2,learning-interactions-and-their-component-events,4,Practice Responses,Practiceresponses
important-learning-and-teaching-events/learning-interactions-and-their-component-events/consequences,2,learning-interactions-and-their-component-events,5,Consequences,Consequences
important-learning-and-teaching-events/functional-sequences-of-learning-interactions/presentation-sequences,2,functional-sequences-of-learning-interactions,0,Presentation Sequences,Presentationsequences
important-learning-and-teaching-events/functional-sequences-of-learning-interactions/prompting-and-prompt-fading-sequences,2,functional-sequences-of-learning-interactions,1,Prompting And Prompt Fading Sequences,Promptingandpromptfadingsequences
important-learning-and-teaching-events/functional-sequences-of-learning-interactions/practice-response-sequences,2,functional-sequences-of-learning-interactions,2,Practice Response Sequences,Practiceresponsesequences
important-learning-and-teaching-events/functional-sequences-of-learning-interactions/response-consequence-contingencies,2,functional-sequences-of-learning-interactions,3,Response Consequence Contingencies,Responseconsequencecontingencies
important-learning-and-teaching-events/functional-sequences-of-learning-interactions/schedules-of-reinforcement-and-punishment,2,functional-sequences-of-learning-interactions,4,Schedules Of Reinforcement And Punishment,Schedulesofreinforcementandpunishment
important-learning-and-teaching-events/functional-sequences-of-learning-interactions/contingency-errors,2,functional-sequences-of-learning-interactions,5,Contingency Errors,Contingencyerrors
important-learning-and-teaching-events/classroom-and-context-variables/the-context-provided-by-schools-and-classrooms,2,classroom-and-context-variables,0,The Context Provided By Schools And Classrooms,Thecontextprovidedbyschoolsandclassrooms
important-learning-and-teaching-events/classroom-and-context-variables/the-resources-immediately-available-for-classroom-use,2,classroom-and-context-variables,1,The Resources Immediately Available For Classroom Use,Theresourcesimmediatelyavailableforclassroomuse
important-learning-and-teaching-events/classroom-and-context-variables/the-extent-to-which-teaching-builds-on-each-child-s-entering-skills,2,classroom-and-context-variables,2,The Extent To Which Teaching Builds On Each Child S Entering Skills,Theextenttowhichteachingbuildsoneachchildsenteringskills
important-learning-and-teaching-events/classroom-and-context-variables/the-amount-of-practice-is-provided,2,classroom-and-context-variables,3,The Amount Of Practice Is Provided,Theamountofpracticeisprovided
important-learning-and-teaching-events/classroom-and-context-variables/monitoring-the-learning-of-individual-children,2,classroom-and-context-variables,4,Monitoring The Learning Of Individual Children,Monitoringthelearningofindividualchildren
important-learning-and-teaching-events/classroom-and-context-variables/types-of-instructional-adaptations-made-by-the-teacher.md,2,classroom-and-context-variables,5,Types Of Instructional Adaptations Made By The Teacher.md,Typesofinstructionaladaptationsmadebytheteacher.md
types-of-research-evidence/approaches-to-research-into-learning-and-teaching/natural-science-social-science-and-ethnographic-approaches-to-research,2,approaches-to-research-into-learning-and-teaching,0,Natural Science Social Science And Ethnographic Approaches To Research,Naturalsciencesocialscienceandethnographicapproachestoresearch
types-of-research-evidence/approaches-to-research-into-learning-and-teaching/which-approaches-to-research-have-learning-as-their-subject-matter,2,approaches-to-research-into-learning-and-teaching,1,Which Approaches To Research Have Learning As Their Subject Matter,Whichapproachestoresearchhavelearningastheirsubjectmatter
types-of-research-evidence/approaches-to-research-into-learning-and-teaching/what-units-of-analysis-are-used-by-the-three-main-approaches-to-research,2,approaches-to-research-into-learning-and-teaching,2,What Units Of Analysis Are Used By The Three Main Approaches To Research,Whatunitsofanalysisareusedbythethreemainapproachestoresearch
types-of-research-evidence/approaches-to-research-into-learning-and-teaching/types-of-explanation,2,approaches-to-research-into-learning-and-teaching,3,Types Of Explanation,Typesofexplanation
types-of-research-evidence/approaches-to-research-into-learning-and-teaching/what-types-of-explanation-are-sought-by-the-three-main-approaches-to-research,2,approaches-to-research-into-learning-and-teaching,4,What Types Of Explanation Are Sought By The Three Main Approaches To Research,Whattypesofexplanationaresoughtbythethreemainapproachestoresearch
types-of-research-evidence/how-is-learning-to-be-observed-and-recorded/beliefs-about-the-nature-of-reality-and-what-can-be-observed,2,how-is-learning-to-be-observed-and-recorded,0,Beliefs About The Nature Of Reality And What Can Be Observed,Beliefsaboutthenatureofrealityandwhatcanbeobserved
types-of-research-evidence/how-is-learning-to-be-observed-and-recorded/what-exactly-is-observed-by-the-three-main-approaches-to-research,2,how-is-learning-to-be-observed-and-recorded,1,What Exactly Is Observed By The Three Main Approaches To Research,Whatexactlyisobservedbythethreemainapproachestoresearch
types-of-research-evidence/how-is-learning-to-be-observed-and-recorded/what-are-the-main-issues-in-observing-and-recording-learning,2,how-is-learning-to-be-observed-and-recorded,2,What Are The Main Issues In Observing And Recording Learning,Whatarethemainissuesinobservingandrecordinglearning
types-of-research-evidence/how-is-learning-to-be-observed-and-recorded/how-is-learning-measured-in-the-three-main-approaches-to-research,2,how-is-learning-to-be-observed-and-recorded,3,How Is Learning Measured In The Three Main Approaches To Research,Howislearningmeasuredinthethreemainapproachestoresearch
types-of-research-evidence/how-is-learning-to-be-observed-and-recorded/what-standards-are-used-when-assessing-the-believability-of-reports-of-learning,2,how-is-learning-to-be-observed-and-recorded,4,What Standards Are Used When Assessing The Believability Of Reports Of Learning,Whatstandardsareusedwhenassessingthebelievabilityofreportsoflearning
types-of-research-evidence/how-is-learning-to-be-observed-and-recorded/which-approaches-to-research-are-collecting-the-most-believable-data-on-learning,2,how-is-learning-to-be-observed-and-recorded,5,Which Approaches To Research Are Collecting The Most Believable Data On Learning,Whichapproachestoresearcharecollectingthemostbelievabledataonlearning
types-of-research-evidence/how-are-the-effects-of-teaching-on-learning-to-be-measured/types-of-questions-and-the-research-methods-required-to-answer-them,2,how-are-the-effects-of-teaching-on-learning-to-be-measured,0,Types Of Questions And The Research Methods Required To Answer Them,Typesofquestionsandtheresearchmethodsrequiredtoanswerthem
types-of-research-evidence/how-are-the-effects-of-teaching-on-learning-to-be-measured/the-relationship-detection-procedures-used-by-the-three-main-approaches-to-research,2,how-are-the-effects-of-teaching-on-learning-to-be-measured,1,The Relationship Detection Procedures Used By The Three Main Approaches To Research,Therelationshipdetectionproceduresusedbythethreemainapproachestoresearch
types-of-research-evidence/how-are-the-effects-of-teaching-on-learning-to-be-measured/how-useful-are-the-relationship-detection-procedures-of-the-three-main-approaches,2,how-are-the-effects-of-teaching-on-learning-to-be-measured,2,How Useful Are The Relationship Detection Procedures Of The Three Main Approaches,Howusefularetherelationshipdetectionproceduresofthethreemainapproaches
types-of-research-evidence/how-are-the-effects-of-teaching-on-learning-to-be-measured/what-standards-are-used-to-evaluate-the-results-of-an-experimental-analysis,2,how-are-the-effects-of-teaching-on-learning-to-be-measured,3,What Standards Are Used To Evaluate The Results Of An Experimental Analysis,Whatstandardsareusedtoevaluatetheresultsofanexperimentalanalysis
types-of-research-evidence/how-are-the-effects-of-teaching-on-learning-to-be-measured/how-accurate-are-within-subject-and-between-group-measures-of-experimental-effects,2,how-are-the-effects-of-teaching-on-learning-to-be-measured,4,How Accurate Are Within Subject And Between Group Measures Of Experimental Effects,Howaccuratearewithinsubjectandbetweengroupmeasuresofexperimentaleffects
types-of-research-evidence/how-are-the-effects-of-teaching-on-learning-to-be-measured/the-generalisability-of-experimental-results,2,how-are-the-effects-of-teaching-on-learning-to-be-measured,5,The Generalisability Of Experimental Results,Thegeneralisabilityofexperimentalresults
types-of-research-evidence/is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time/research-in-which-the-question-asked-determines-the-research-method,2,is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time,0,Research In Which The Question Asked Determines The Research Method,Researchinwhichthequestionaskeddeterminestheresearchmethod
types-of-research-evidence/is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time/research-in-general-or-just-the-scientific-research,2,is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time,1,Research In General Or Just The Scientific Research,Researchingeneralorjustthescientificresearch
types-of-research-evidence/is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time/how-much-scientific-evidence-is-required-to-justify-a-change-to-evidence-based-teach-practice,2,is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time,2,How Much Scientific Evidence Is Required To Justify A Change To Evidence Based Teach Practice,Howmuchscientificevidenceisrequiredtojustifyachangetoevidencebasedteachpractice
types-of-research-evidence/is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time/are-discoveries-to-date-sufficient-to-justify-a-move-to-evidence-based-practice,2,is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time,3,Are Discoveries To Date Sufficient To Justify A Move To Evidence Based Practice,Arediscoveriestodatesufficienttojustifyamovetoevidencebasedpractice
types-of-research-evidence/is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time/progress-in-developing-an-empirical-theory-of-learning,2,is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time,4,Progress In Developing An Empirical Theory Of Learning,Progressindevelopinganempiricaltheoryoflearning
the-conditions-upon-which-learning-depends/respondent-processes/how-new-meanings-are-acquired,2,respondent-processes,0,How New Meanings Are Acquired,Hownewmeaningsareacquired
the-conditions-upon-which-learning-depends/respondent-processes/how-likes-and-dislikes-develop,2,respondent-processes,1,How Likes And Dislikes Develop,Howlikesanddislikesdevelop
the-conditions-upon-which-learning-depends/respondent-processes/how-fears-and-anxieties-are-learned-and-unlearned,2,respondent-processes,2,How Fears And Anxieties Are Learned And Unlearned,Howfearsandanxietiesarelearnedandunlearned
the-conditions-upon-which-learning-depends/motivational-processes/how-motivation-and-persistence-develop,2,motivational-processes,0,How Motivation And Persistence Develop,Howmotivationandpersistencedevelop
the-conditions-upon-which-learning-depends/shaping-processes/how-completely-new-behaviours-and-skills-are-acquired,2,shaping-processes,0,How Completely New Behaviours And Skills Are Acquired,Howcompletelynewbehavioursandskillsareacquired
the-conditions-upon-which-learning-depends/shaping-processes/how-new-procedures-are-acquired,2,shaping-processes,1,How New Procedures Are Acquired,Hownewproceduresareacquired
the-conditions-upon-which-learning-depends/verbal-learning-processes/how-new-equivalence-relations-are-acquired,2,verbal-learning-processes,0,How New Equivalence Relations Are Acquired,Hownewequivalencerelationsareacquired
the-conditions-upon-which-learning-depends/verbal-learning-processes/how-conceptual-responses-are-acquired,2,verbal-learning-processes,1,How Conceptual Responses Are Acquired,Howconceptualresponsesareacquired
the-conditions-upon-which-learning-depends/verbal-learning-processes/how-new-knowledge-responses-are-acquired,2,verbal-learning-processes,2,How New Knowledge Responses Are Acquired,Hownewknowledgeresponsesareacquired
the-conditions-upon-which-learning-depends/fluency-building-processes/how-fluency-is-acquired,2,fluency-building-processes,0,How Fluency Is Acquired,Howfluencyisacquired
the-effects-of-instructional-events/presentation-prompting-and-practice-variables/presentation-variables-and-their-effects,2,presentation-prompting-and-practice-variables,0,Presentation Variables And Their Effects,Presentationvariablesandtheireffects
the-effects-of-instructional-events/presentation-prompting-and-practice-variables/presentation-content-variables-and-their-effects,2,presentation-prompting-and-practice-variables,1,Presentation Content Variables And Their Effects,Presentationcontentvariablesandtheireffects
the-effects-of-instructional-events/presentation-prompting-and-practice-variables/prompting-variables-and-their-effects,2,presentation-prompting-and-practice-variables,2,Prompting Variables And Their Effects,Promptingvariablesandtheireffects
the-effects-of-instructional-events/presentation-prompting-and-practice-variables/practice-variables-and-their-effects,2,presentation-prompting-and-practice-variables,3,Practice Variables And Their Effects,Practicevariablesandtheireffects
the-effects-of-instructional-events/presentation-prompting-and-practice-variables/amount-of-practice-and-its-effects,2,presentation-prompting-and-practice-variables,4,Amount Of Practice And Its Effects,Amountofpracticeanditseffects
the-effects-of-instructional-events/presentation-prompting-and-practice-variables/practice-schedules-and-their-effects,2,presentation-prompting-and-practice-variables,5,Practice Schedules And Their Effects,Practiceschedulesandtheireffects
the-effects-of-instructional-events/the-effects-of-contingency-variables/positive-and-negative-reinforcement-and-punishment-contingencies,2,the-effects-of-contingency-variables,0,Positive And Negative Reinforcement And Punishment Contingencies,Positiveandnegativereinforcementandpunishmentcontingencies
the-effects-of-instructional-events/the-effects-of-contingency-variables/positive-reinforcement-contingencies-and-their-effects,2,the-effects-of-contingency-variables,1,Positive Reinforcement Contingencies And Their Effects,Positivereinforcementcontingenciesandtheireffects
the-effects-of-instructional-events/the-effects-of-contingency-variables/negative-reinforcement-contingencies-and-their-effects,2,the-effects-of-contingency-variables,2,Negative Reinforcement Contingencies And Their Effects,Negativereinforcementcontingenciesandtheireffects
the-effects-of-instructional-events/the-effects-of-contingency-variables/positive-punishment-contingencies-and-their-effects,2,the-effects-of-contingency-variables,3,Positive Punishment Contingencies And Their Effects,Positivepunishmentcontingenciesandtheireffects
the-effects-of-instructional-events/the-effects-of-contingency-variables/negative-punishment-contingencies-and-their-effects,2,the-effects-of-contingency-variables,4,Negative Punishment Contingencies And Their Effects,Negativepunishmentcontingenciesandtheireffects
the-effects-of-instructional-events/the-effects-of-contingency-variables/effects-of-removing-a-pre-existing-contingency,2,the-effects-of-contingency-variables,5,Effects Of Removing A Pre Existing Contingency,Effectsofremovingapreexistingcontingency
the-effects-of-instructional-events/the-effects-of-contingency-variables/the-reinforcement-or-punishment-of-particular-dimensions-of-performance,2,the-effects-of-contingency-variables,6,The Reinforcement Or Punishment Of Particular Dimensions Of Performance,Thereinforcementorpunishmentofparticulardimensionsofperformance
the-effects-of-instructional-events/the-effects-of-contingency-variables/schedules-of-reinforcement-and-punishment,2,the-effects-of-contingency-variables,7,Schedules Of Reinforcement And Punishment,Schedulesofreinforcementandpunishment
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/calls-for-change/calls-for-an-end-to-faddism.md,3,calls-for-change,0,Calls For An End To Faddism.md,Callsforanendtofaddism.md
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/calls-for-change/calls-for-increased-accountability.md,3,calls-for-change,1,Calls For Increased Accountability.md,Callsforincreasedaccountability.md
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/calls-for-change/calls-for-a-move-to-evidence-based-practice.md,3,calls-for-change,2,Calls For A Move To Evidence Based Practice.md,Callsforamovetoevidencebasedpractice.md
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/what-is-to-count-as-evidence/evidence-gathered-using-what-kinds-of-research.md,3,what-is-to-count-as-evidence,0,Evidence Gathered Using What Kinds Of Research.md,Evidencegatheredusingwhatkindsofresearch.md
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/what-is-to-count-as-evidence/evidence-collected-at-what-level-of-specificity.md,3,what-is-to-count-as-evidence,1,Evidence Collected At What Level Of Specificity.md,Evidencecollectedatwhatlevelofspecificity.md
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/what-is-to-count-as-evidence/evidence-of-what-quality.md,3,what-is-to-count-as-evidence,2,Evidence Of What Quality.md,Evidenceofwhatquality.md
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/what-is-to-count-as-evidence/how-much-evidence.md,3,what-is-to-count-as-evidence,3,How Much Evidence.md,Howmuchevidence.md
the-problem-to-be-solved/the-transition-from-craft-to-science/improving-the-quality-of-research-into-learning-and-teaching/scientific-advances-depend-upon-asking-the-right-questions.md,3,improving-the-quality-of-research-into-learning-and-teaching,0,Scientific Advances Depend Upon Asking The Right Questions.md,Scientificadvancesdependuponaskingtherightquestions.md
the-problem-to-be-solved/the-transition-from-craft-to-science/improving-the-quality-of-research-into-learning-and-teaching/productive-research-uses-research-methods-which-are-fit-for-purpose.md,3,improving-the-quality-of-research-into-learning-and-teaching,1,Productive Research Uses Research Methods Which Are Fit For Purpose.md,Productiveresearchusesresearchmethodswhicharefitforpurpose.md
the-problem-to-be-solved/the-transition-from-craft-to-science/improving-the-quality-of-research-into-learning-and-teaching/correcting-the-imbalance-and-upgrading-educational-research-methods-training.md,3,improving-the-quality-of-research-into-learning-and-teaching,2,Correcting The Imbalance And Upgrading Educational Research Methods Training.md,Correctingtheimbalanceandupgradingeducationalresearchmethodstraining.md
the-problem-to-be-solved/the-transition-from-craft-to-science/improving-the-quality-of-research-into-learning-and-teaching/upgrading-the-quality-of-research-funded-by-the-ministry-of-education.md,3,improving-the-quality-of-research-into-learning-and-teaching,3,Upgrading The Quality Of Research Funded By The Ministry Of Education.md,Upgradingthequalityofresearchfundedbytheministryofeducation.md
the-problem-to-be-solved/the-transition-from-craft-to-science/improving-the-quality-of-research-into-learning-and-teaching/the-way-forward.md,3,improving-the-quality-of-research-into-learning-and-teaching,4,The Way Forward.md,Thewayforward.md
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/what-is-learning/learning-involves-change.md,3,what-is-learning,0,Learning Involves Change.md,Learninginvolveschange.md
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/what-is-learning/learning-occurs-in-individuals.md,3,what-is-learning,1,Learning Occurs In Individuals.md,Learningoccursinindividuals.md
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/what-is-learning/learning-includes-a-change-in-behaviour.md,3,what-is-learning,2,Learning Includes A Change In Behaviour.md,Learningincludesachangeinbehaviour.md
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/what-is-learning/most-human-action-behaviour-is-purposeful.md,3,what-is-learning,3,Most Human Action Behaviour Is Purposeful.md,Mosthumanactionbehaviourispurposeful.md
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/what-is-learning/actions-have-effects.md,3,what-is-learning,4,Actions Have Effects.md,Actionshaveeffects.md
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/what-is-learning/implications-of-this-definition.md,3,what-is-learning,5,Implications Of This Definition.md,Implicationsofthisdefinition.md
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/basic-types-of-acquisition-outcomes/the-acquisition-of-new-meanings.md,3,basic-types-of-acquisition-outcomes,0,The Acquisition Of New Meanings.md,Theacquisitionofnewmeanings.md
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/basic-types-of-acquisition-outcomes/the-acquisition-of-new-behaviours.md,3,basic-types-of-acquisition-outcomes,1,The Acquisition Of New Behaviours.md,Theacquisitionofnewbehaviours.md
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/basic-types-of-acquisition-outcomes/the-acquisition-of-new-procedures.md,3,basic-types-of-acquisition-outcomes,2,The Acquisition Of New Procedures.md,Theacquisitionofnewprocedures.md
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/basic-types-of-acquisition-outcomes/the-acquisition-of-new-equivalence-relations.md,3,basic-types-of-acquisition-outcomes,3,The Acquisition Of New Equivalence Relations.md,Theacquisitionofnewequivalencerelations.md
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/basic-types-of-acquisition-outcomes/the-acquisition-of-new-generalisations.md,3,basic-types-of-acquisition-outcomes,4,The Acquisition Of New Generalisations.md,Theacquisitionofnewgeneralisations.md
